	x	y	z
0	-31.254156149443524	-68.37058686575278	50.46502255146022
1	-32.5762532645752	-73.80614492403967	41.370696418471965
2	-35.57557152889247	-78.84284961287511	30.852345985690434
3	-41.49506539248922	-81.53189336585402	22.324237397415686
4	-45.014211806284635	-83.45039474502431	11.887046157604445
5	-49.930627659928355	-83.35959828214808	1.551640449245923
6	-49.892033624215	-81.78820734729612	-9.289449949338206
7	-50.826831454928154	-79.43426276715866	-19.46712639975334
8	-46.14975752819829	-68.9764749977407	-33.98469005395219
9	-45.93607025139082	-61.912177551100854	-32.95997578493447
10	-59.1797540771364	-58.5222629687201	-26.243330949315464
11	-61.414389538158446	-51.28277833943682	-22.98814022391798
12	-66.56920059845999	-41.695632774296996	-17.742707654013657
13	-69.35335035248673	-34.90033869648923	-13.262474563731018
14	-70.1026658164359	-24.276789210849245	-7.297684319167132
15	-68.07573154519008	-13.163711991709619	-2.358954504580254
